0,0
1,62
2,170
3,322
4,524
5,726
6,948
7,1168
8,1392
9,1634
10,1906
11,2188
12,2492
13,2804
14,3120
15,3438
16,3756
17,4084
18,4420
19,4764
20,5112
21,5462
22,5818
23,6188
24,6566
25,6954
26,7350
27,7750
28,8150
29,8548
30,8948
31,9348
32,9748
33,10148
34,10546
35,10946
36,11344
37,11744
38,12142
39,12540
40,12938
41,13336
42,13736
43,14136
44,14536
45,14932
46,15326
47,15726
48,16126
49,16526
50,16926
51,17324
52,17724
53,18122
54,18516
55,18912
56,19310
57,19710
58,20110
59,20510
60,20910
61,21310
62,21710
63,22108
64,22504
65,22900
66,23300
67,23700
68,24098
69,24498
70,24894
71,25292
72,25690
73,26088
74,26488
75,26888
76,27288
77,27686
78,28084
79,28484
80,28882
81,29282
82,29682
83,30078
84,30478
85,30878
86,31278
87,31678
88,32076
89,32474
90,32870
91,33266
92,33662
93,34062
94,34460
95,34860
96,35258
97,35658
98,36058
99,36458
100,36858
101,37258
102,37658
103,38058
104,38458
105,38858
106,39254
107,39648
108,40044
109,40442
110,40842
111,41242
112,41642
113,42042
114,42440
115,42838
116,43234
117,43626
118,44024
119,44424
120,44824
121,45224
122,45624
123,46024
124,46422
125,46822
126,47222
127,47622
128,48022
129,48422
130,48820
131,49218
132,49618
133,50016
134,50416
135,50816
136,51216
137,51614
138,52012
139,52412
140,52810
141,53208
142,53604
143,54002
144,54402
145,54798
146,55196
147,55594
148,55994
149,56390
150,56786
151,57182
152,57580
153,57980
154,58380
155,58780
156,59178
157,59572
158,59970
159,60368
160,60768
161,61168
162,61568
163,61966
164,62366
165,62766
166,63166
167,63564
168,63964
169,64364
170,64760
171,65154
172,65552
173,65952
174,66348
175,66744
176,67138
177,67532
178,67930
179,68326
180,68722
181,69120
182,69516
183,69912
184,70310
185,70710
186,71108
187,71506
188,71906
189,72302
190,72700
191,73100
192,73500
193,73900
194,74300
195,74700
196,75100
197,75498
198,75898
199,76296
200,76694
201,77094
202,77494
203,77894
204,78292
205,78690
206,79090
207,79488
208,79886
209,80286
210,80682
211,81082
212,81482
213,81882
214,82282
215,82680
216,83078
217,83478
218,83878
219,84278
220,84678
221,85076
222,85472
223,85872
224,86270
225,86670
226,87070
227,87468
228,87868
229,88268
230,88666
231,89062
232,89458
233,89856
234,90254
235,90654
236,91054
237,91454
238,91852
239,92248
240,92642
241,93042
242,93442
243,93840
244,94238
245,94636
246,95034
247,95428
248,95828
249,96228
250,96626
251,97026
252,97426
253,97822
254,98218
255,98616
256,99014
257,99412
258,99810
259,100210
260,100608
261,101006
262,101406
263,101806
264,102206
265,102606
266,103006
267,103404
268,103804
269,104204
270,104604
271,105004
272,105404
273,105804
274,106204
275,106604
276,107002
277,107400
278,107798
279,108198
280,108596
281,108990
282,109386
283,109786
284,110186
285,110584
286,110984
287,111384
288,111784
289,112184
290,112584
291,112980
292,113374
293,113772
294,114168
295,114564
296,114962
297,115360
298,115756
299,116156
300,116556
301,116954
302,117354
303,117754
304,118154
305,118554
306,118954
307,119352
308,119752
309,120152
310,120552
311,120952
312,121350
313,121748
314,122146
315,122546
316,122944
317,123342
318,123742
319,124140
320,124538
321,124936
322,125332
323,125730
324,126128
325,126524
326,126922
327,127322
328,127722
329,128122
330,128522
331,128922
332,129316
333,129714
334,130108
335,130502
336,130898
337,131298
338,131698
339,132094
340,132490
341,132884
342,133280
343,133676
344,134074
345,134474
346,134874
347,135274
348,135674
349,136074
350,136468
351,136866
352,137266
353,137662
354,138060
355,138460
356,138858
357,139258
358,139658
359,140056
360,140454
361,140852
362,141248
363,141648
364,142046
365,142444
366,142840
367,143234
368,143632
369,144028
370,144428
371,144828
372,145226
373,145626
374,146026
375,146424
376,146822
377,147220
378,147616
379,148016
380,148412
381,148808
382,149208
383,149608
384,150008
385,150408
386,150808
387,151208
388,151608
389,152008
390,152406
391,152806
392,153206
393,153606
394,154006
395,154406
396,154804
397,155200
398,155600
399,156000
400,156400
401,156800
402,157194
403,157582
404,157982
405,158382
406,158782
407,159180
408,159576
409,159974
410,160370
411,160766
412,161158
413,161550
414,161942
415,162336
416,162734
417,163132
418,163528
419,163922
420,164318
421,164718
422,165118
423,165516
424,165916
425,166316
426,166716
427,167116
428,167514
429,167912
430,168310
431,168710
432,169108
433,169508
434,169908
435,170306
436,170702
437,171098
438,171496
439,171896
440,172296
441,172696
442,173096
443,173496
444,173896
445,174292
446,174688
447,175082
448,175472
449,175866
450,176266
451,176666
452,177062
453,177460
454,177858
455,178258
456,178658
457,179058
458,179458
459,179856
460,180254
461,180652
462,181048
463,181448
464,181848
465,182248
466,182648
467,183048
468,183446
469,183846
470,184246
471,184646
472,185046
473,185446
474,185846
475,186244
476,186644
477,187042
478,187442
479,187842
480,188242
481,188642
482,189042
483,189440
484,189838
485,190236
486,190636
487,191036
488,191436
489,191836
490,192236
491,192636
492,193036
493,193436
494,193836
495,194234
496,194632
497,195032
498,195430
499,195828
500,196226
501,196626
502,197024
503,197424
504,197824
505,198224
506,198624
507,199022
508,199422
509,199822
510,200222
511,200622
512,201020
513,201416
514,201812
515,202208
516,202604
517,203000
518,203396
519,203796
520,204196
521,204596
522,204996
523,205396
524,205796
525,206196
526,206596
527,206994
528,207394
529,207794
530,208194
531,208594
532,208994
533,209394
534,209794
535,210192
536,210588
537,210982
538,211380
539,211780
540,212180
541,212580
542,212980
543,213376
544,213774
545,214174
546,214574
547,214972
548,215372
549,215772
550,216172
551,216570
552,216968
553,217368
554,217766
555,218166
556,218562
557,218958
558,219352
559,219748
560,220146
